 - 채소 -
이마트몰/채소
1,이마트몰,채소모음(마늘/모둠쌈/애호박),"1,780"
2,이마트몰,애호박 200g,"1,780"
3,이마트몰,채소모음(계란/채소믹스),"5,681"
4,이마트몰,인큐 애호박 (개) 200g이상,"1,480"
5,이마트몰,수제망 양파 1.8Kg내외 (망),"3,980"
6,이마트몰,꿈꾸는콩 촌두부 550G,"1,450"
7,이마트몰,청정원/종가집 행사상품모음,"1,000"
8,이마트몰,[종가집] 콩이가득두부찌개용 300g,"1,000"
9,이마트몰,노브랜드 국산콩두부300g*2입,"3,280"
10,이마트몰,흙대파 750g내외 (봉),"2,144"
11,이마트몰,GAP 시금치(봉),"2,784"
12,이마트몰,무 1kg 내외,"1,350"
13,이마트몰,파프리카/부추 등 최대 등 채소 ~30% 할인 행사,"4,980"
14,이마트몰,[풀무원]국산콩 투컵 두부 600g,"4,980"
15,이마트몰,[풀무원] 국산콩 콩나물 340g,"2,500"
16,이마트몰,백오이 3입(봉) 17cm이상,"2,980"
17,이마트몰,"감자모음 최대 30%할인행사! 고구마, 연근도 함께!","4,480"
18,이마트몰,유명산지 감자 1kg내외(봉),"4,480"
19,이마트몰,햇 무 900g이상/1입(봉),"1,680"
20,이마트몰,GAP 깻잎(봉),"1,280"
21,이마트몰,[풀무원] 국산 콩 순두부 (350g),"1,990"
22,이마트몰,흙대파 800g,"1,984"
23,이마트몰,CJ양념이 잘 배는 찌개두부300g,"1,100"
24,이마트몰,CJ행복한콩 깨끗한콩나물 380g,"1,680"
25,이마트몰,[피코크] 제주콩 두부 300gx2개입,"4,480"
26,이마트몰,강원도에서 길러낸 파프리카 혼합 2입(봉) 260g이상,"2,980"
27,이마트몰,강원도에서 길러낸 청양고추 200g (봉),"1,480"
28,이마트몰,강원도에서 길러낸 양상추(250g),"2,384"
29,이마트몰,양파 1.8kg,"3,980"
30,이마트몰,양파/당근 등 ~20%할인행사,"3,980"
 
마켓컬리/채소
1,마켓컬리,장흥 표고 버섯 가루 70g,"5,490원"
2,마켓컬리,건 목이버섯 30g,"3,990원"
3,마켓컬리,건 표고버섯 슬라이스 100g,"6,990원"
4,마켓컬리,건 표고버섯 100g,"6,990원"
5,마켓컬리,조각 브로콜리 250g,"3,690원"
