index,sname,pname,price
이마트몰/과일
1,이마트몰,완숙토마토 5~8입/팩 (1.2kg),"7,900"
2,이마트몰,파머스픽 샤인머스캣 750g/팩,"14,900"
3,이마트몰,[미국산] 레몬 9~15입/봉 (1.4kg내외),"8,980"
4,이마트몰,건망고 슬라이스 250g,"5,530"
5,이마트몰,씨를 뺀 건자두 300g,"2,786"
6,이마트몰,크리스피 리얼칩스 5믹스 180g,"5,900"
7,이마트몰,크리스마스 감귤 3.5kg/박스,"9,980"
8,이마트몰,[피코크] 망고 그대로 10g,"2,480"
9,이마트몰,건블루베리 350g,"7,560"
10,이마트몰,제스프리 제주 골드키위/팩 (1kg내외),"12,800"
11,이마트몰,7D 건망고 80g,"4,180"
12,이마트몰,샤인머스캣 2.2kg/박스,"29,900"
13,이마트몰,[삼양사] 건크랜베리 150g,"3,980"
14,이마트몰,[칠레산] 생블루베리 310g,"8,980"
15,이마트몰,바나나칩 500g,"7,980"
16,이마트몰,애플토마토 600g/팩,"4,900"
17,이마트몰,대추방울토마토 750g/팩,"6,900"
18,이마트몰,저탄소인증 사과 1.4kg이상/봉,"7,980"
19,이마트몰,[칠레산] 체리 500g/팩,"11,800"
20,이마트몰,파머스픽 아삭달콤 신고배 3kg/박스,"13,900"
21,이마트몰,엔비사과 4~6입/봉 (1.3kg내외),"9,980"
22,이마트몰,샤인머스캣 500g/팩,"8,900"
23,이마트몰,[페루산] 냉동딸기 1.3kg,"5,980"
24,이마트몰,파머스픽 샤인머스캣 1.5kg/박스,"27,900"
25,이마트몰,[필리핀산] 망고 3입/팩 (700g내외),"7,980"
26,이마트몰,[미국산] 냉동 블루베리 1.5kg/봉,"12,800"
27,이마트몰,[필리핀산] 델몬트 컷파인애플 540g,"6,980"
28,이마트몰,SSG 제주 감귤 (2.5kg/박스),"7,800"
29,이마트몰,친환경 감귤 2kg/박스,"7,980"
30,이마트몰,[미국산] 레몬 1개 (150g내외),980
 
컬리/과일
1,마켓컬리,새콤달콤 당도선별 제주감귤 2.5kg,"9,900원"
2,마켓컬리,새콤달콤 당도선별 제주감귤 1kg,"5,800원"
3,마켓컬리,GAP 신고배 3입,"7,300원"
4,마켓컬리,제주 타이벡 감귤 1.7kg,"8,200원"
5,마켓컬리,"제주 무농약 노지 감귤 3종 (800g, 1kg, 2kg)","4,480원"
6,마켓컬리,무농약 골드키위(국내산) 4~6입,"5,990원"
7,마켓컬리,저탄소 GAP '햇' 부사 사과 2.5kg (8~12입),"10,335원"
8,마켓컬리,향기가득 샤인머스켓 1송이 500g내외,"13,900원"
9,마켓컬리,[새벽딸기] GAP 논산 설향 딸기 500g,"15,800원"
10,마켓컬리,[귤로장생] GAP 타이벡 감귤 2.5kg,"9,983원"
11,마켓컬리,샤인마토 1kg,"11,800원"
12,마켓컬리,[타미나] 칠레산 생체리 500g,"19,800원"
13,마켓컬리,대추방울 스테비아 달음마토 500g,"7,980원"
14,마켓컬리,[타미나] 당도선별 서귀포 감귤 2종,"4,500원"
15,마켓컬리,GAP 미시마 사과 2kg 박스,"13,990원"
16,마켓컬리,칠레산 블루베리 2종,"5,950원"
17,마켓컬리,부유단감 5~6입 900g 내외,"5,500원"
18,마켓컬리,칠레산 생체리 300g,"9,933원"
